Code;Libellé;Médiane du revenu disponible par UC 2018;Part des revenus d'activité 2018;
02112;Brancourt-le-Grand;21060;N/A
02114;Brasles;21410;N/A
02115;Braye-en-Laonnois;21510;N/A
02116;Braye-en-Thiérache;19580;N/A
02117;Bray-Saint-Christophe;N/A;N/A
02118;Braye;23400;N/A
02119;Brécy;21190;N/A
02120;Brenelle;22070;N/A
02121;Breny;19900;N/A
02122;Brie;N/A;N/A
02123;Brissay-Choigny;21410;N/A
02124;Brissy-Hamégicourt;20620;N/A
02125;Brumetz;23700;N/A
02126;Brunehamel;17740;N/A
02127;Bruyères-sur-Fère;20450;N/A
02128;Bruyères-et-Montbérault;23450;N/A
02129;Bruys;N/A;N/A
02130;Bucilly;19600;N/A
02131;Bucy-le-Long;22310;N/A
02132;Bucy-lès-Cerny;22180;N/A
02133;Bucy-lès-Pierrepont;18560;N/A
02134;Buire;19230;N/A
02135;Buironfosse;18100;N/A
02136;Burelles;18780;N/A
02137;Bussiares;21520;N/A
02138;Buzancy;25990;N/A
02139;Caillouël-Crépigny;22110;N/A
02140;Camelin;20430;N/A
02141;La Capelle;17930;N/A
02142;Castres;22930;N/A
02143;Le Catelet;20680;N/A
02144;Caulaincourt;24400;N/A
02145;Caumont;21810;N/A
02146;Celles-lès-Condé;N/A;N/A
02148;Celles-sur-Aisne;21080;N/A
02149;Cerizy;N/A;N/A
02150;Cerny-en-Laonnois;N/A;N/A
02151;Cerny-lès-Bucy;25210;N/A
02152;Cerseuil;N/A;N/A
02153;Cessières-Suzy;22000;N/A
02154;Chacrise;22470;N/A
02155;Chaillevois;23970;N/A
02156;Chalandry;21270;N/A
02157;Chambry;21850;N/A
02158;Chamouille;20300;N/A
02159;Champs;20200;N/A
02160;Chaourse;18590;N/A
02162;La Chapelle-sur-Chézy;21450;N/A
02163;Charly-sur-Marne;20530;69.5
02164;Le Charmel;20400;N/A
02165;Charmes;19630;N/A
02166;Chartèves;22520;N/A
02167;Chassemy;22100;N/A
02168;Château-Thierry;18020;67.7
02169;Châtillon-lès-Sons;N/A;N/A
02170;Châtillon-sur-Oise;21340;N/A
02171;Chaudardes;N/A;N/A
02172;Chaudun;22640;N/A
02173;Chauny;17460;62.6
02174;Chavignon;21100;N/A
02175;Chavigny;20800;N/A
02176;Chavonne;20140;N/A
02177;Chérêt;24060;N/A
02178;Chermizy-Ailles;21530;N/A
02179;Chéry-Chartreuve;21010;N/A
02180;Chéry-lès-Pouilly;20590;N/A
02181;Chéry-lès-Rozoy;N/A;N/A
02182;Chevennes;18810;N/A
02183;Chevregny;23250;N/A
02184;Chevresis-Monceau;20460;N/A
02185;Chézy-en-Orxois;22390;N/A
02186;Chézy-sur-Marne;22580;N/A
02187;Chierry;23650;N/A
02188;Chigny;19100;N/A
02189;Chivres-en-Laonnois;19620;N/A
02190;Chivres-Val;21970;N/A
02191;Chivy-lès-Étouvelles;22330;N/A
02192;Chouy;21210;N/A
02193;Cierges;N/A;N/A
02194;Cilly;19350;N/A
02195;Ciry-Salsogne;22810;N/A
02196;Clacy-et-Thierret;24270;N/A
02197;Clairfontaine;21320;N/A
02198;Clamecy;21680;N/A
02199;Clastres;20040;N/A
02200;Clermont-les-Fermes;19280;N/A
02201;Cœuvres-et-Valsery;22820;N/A
02203;Coincy;19310;N/A
02204;Coingt;N/A;N/A
02205;Colligis-Crandelain;20720;N/A
02206;Colonfay;N/A;N/A
02207;Commenchon;22050;N/A
02208;Concevreux;23600;N/A
02209;Condé-en-Brie;19670;N/A
02210;Condé-sur-Aisne;20760;N/A
02211;Condé-sur-Suippe;20790;N/A
02212;Condren;20830;N/A
02213;Connigis;22340;N/A
02214;Contescourt;N/A;N/A
02215;Corbeny;21560;N/A
02216;Corcy;23570;N/A
02217;Coucy-le-Château-Auffrique;20280;N/A
02218;Coucy-lès-Eppes;20460;N/A
02219;Coucy-la-Ville;21310;N/A
02220;Coulonges-Cohan;20590;N/A
02221;Coupru;21310;N/A
02222;Courbes;N/A;N/A
02223;Courboin;21100;N/A
02224;Courcelles-sur-Vesle;20600;N/A
02225;Courchamps;N/A;N/A
02226;Courmelles;21370;N/A
02227;Courmont;24400;N/A
02228;Courtemont-Varennes;19970;N/A
02229;Courtrizy-et-Fussigny;N/A;N/A
02230;Couvrelles;23560;N/A
02231;Couvron-et-Aumencourt;19380;N/A
02232;Coyolles;22550;N/A
02233;Cramaille;23010;N/A
02234;Craonne;N/A;N/A
02235;Craonnelle;23810;N/A
02236;Crécy-au-Mont;20440;N/A
02237;Crécy-sur-Serre;19370;N/A
02238;Crépy;19630;N/A
02239;Crézancy;19650;N/A
02240;Croix-Fonsomme;19320;N/A
02241;La Croix-sur-Ourcq;20730;N/A
